"ESTADO","NOMBRE ESTADO","DISTRITO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PPS"," PRD"," PFCRN"," PARM"," PDM"," PRT"," PEM"," PT"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"1","AGUASCALIENTES","1","I","Aguascalientes","313","410","32,959","82,370","961","4,257","6,880","1,585","1,846","538","2,417","1,454","117","5,562","140,946","191,588"
"1","AGUASCALIENTES","2","II","Jesús María","164","287","7,502","55,477","377","1,201","4,582","848","1,106","181","264","412","12","2,699","74,661","121,765"
"2","BAJA CALIFORNIA","1","I","Mexicali","158","220","32,364","36,450","1,610","1,717","1,361","575","209","233","956","1,351","21","4,019","80,866","100,218"
"2","BAJA CALIFORNIA","2","II","Tijuana","124","171","26,600","24,834","408","1,425","350","791","141","98","471","259","14","3,396","58,787","77,217"
"2","BAJA CALIFORNIA","3","III","Ensenada","244","350","44,720","48,277","1,586","4,761","2,903","766","290","122","1,276","389","23","4,866","109,979","142,608"
"2","BAJA CALIFORNIA","4","IV","Mexicali","311","447","54,154","75,035","3,516","3,529","3,578","976","371","318","1,018","2,521","29","8,314","153,359","188,568"
"2","BAJA CALIFORNIA","5","V","Tijuana","148","182","30,819","24,726","414","820","416","940","133","115","424","205","16","2,221","61,249","78,078"
"2","BAJA CALIFORNIA","6","VI","Tijuana","261","411","65,523","51,491","811","3,665","1,180","1,443","325","418","596","1,967","34","6,598","134,051","181,461"
"3","BAJA CALIFORNIA SUR","1","I","La Paz","213","271","13,318","38,289","1,283","1,067","1,177","1,226","235","987","443","399","44","2,564","61,032","91,933"
"3","BAJA CALIFORNIA SUR","2","II","Mulegé","129","171","8,811","21,658","150","267","289","213","38","133","42","160","5","1,146","32,912","52,179"
"4","CAMPECHE","1","I","Ciudad del Carmen","232","308","1,007","52,009","499","3,438","981","2,675","123","50","209","194","27","4,720","65,932","100,351"
"4","CAMPECHE","2","II","Campeche","252","299","4,132","62,211","821","2,739","725","12,073","344","65","609","134","63","3,872","87,788","120,775"
"5","COAHUILA","1","I","Saltillo","269","394","39,444","61,207","608","2,309","5,565","1,809","309","181","664","438","70","3,738","116,342","181,249"
"5","COAHUILA","2","II","Torreón","134","214","14,366","37,559","363","3,123","3,275","689","185","112","395","130","14","2,638","62,849","101,578"
"5","COAHUILA","3","III","Monclova","199","264","13,955","29,877","459","633","633","333","46","7","20","932","20","3,693","50,608","105,065"
"5","COAHUILA","4","IV","Piedras Negras","185","252","7,237","42,489","209","3,575","2,206","433","95","7","10","371","9","3,532","60,173","104,926"
"5","COAHUILA","5","V","Frontera","231",,,,,,,,,,,,,,,"91,796"
"5","COAHUILA","6","VI","Torreón","289","412","14,445","61,659","803","18,424","7,610","1,241","272","151","409","340","23","4,450","109,827","186,395"
"5","COAHUILA","7","VII","San Pedro C.","195","257","2,375","36,455","702","4,120","1,510","1,057","48","81","15","63","8","1,209","47,643","101,168"
"6","COLIMA","1","I","Colima","164","263","10,064","50,372","296","4,658","1,702","707","1,210","1,134","287","845","24","2,150","73,449","100,097"
"6","COLIMA","2","II","Manzanillo","164","238","7,435","30,820","396","7,682","3,240","410","1,330","387","123","309","46","2,772","54,950","86,261"
