"ESTADO","NOMBRE ESTADO","DISTRITO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PPS"," PRD"," PFCRN"," PARM"," UNO PDM"," PT"," PVEM"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"1","AGUASCALIENTES","1","I","Aguascalientes","314","517","86,052","92,786","1,242","19,953","5,175","1,129","1,043","4,834","4,244","74","4,556","221,088","271,060"
"1","AGUASCALIENTES","2","II","Jesús María","172","283","31,058","63,849","653","8,542","2,561","621","450","1,111","837","45","4,274","114,001","149,875"
"2","BAJA CALIFORNIA","1","I","Mexicali","159","249","32,733","55,309","844","5,702","340","251","206","1,371","1,239","58","2,411","100,464","125,421"
"2","BAJA CALIFORNIA","2","II","Tijuana","133","205","29,106","36,395","363","4,484","272","274","629","886","1,124","19","2,174","75,726","100,574"
"2","BAJA CALIFORNIA","3","III","Ensenada","250","396","46,977","70,943","740","14,391","1,887","463","336","2,046","1,375","544","3,755","143,457","184,931"
"2","BAJA CALIFORNIA","4","IV","Mexicali","324","484","65,576","98,665","1,610","15,093","975","747","270","3,045","2,080","108","5,616","193,785","239,124"
"2","BAJA CALIFORNIA","5","V","Tijuana","170","223","34,890","39,770","261","5,492","296","283","210","1,656","1,657","459","1,862","86,836","111,891"
"2","BAJA CALIFORNIA","6","VI","Tijuana","331","541","78,615","96,417","825","16,194","821","779","576","4,271","2,984","207","4,864","206,553","276,620"
"3","BAJA CALIFORNIA SUR","1","I","La Paz","219","293","29,139","55,319","321","4,992","480","454","374","2,049","798","17","1,978","95,921","122,132"
"3","BAJA CALIFORNIA SUR","2","II","Mulegé","131","164","17,185","24,229","126","2,456","250","124","94","507","228","9","1,113","46,321","60,464"
"4","CAMPECHE","1","I","Ciudad del Carmen","233","323","11,573","61,147","627","23,001","613","1,257","306","1,027","283","413","3,724","103,971","141,779"
"4","CAMPECHE","2","II","Campeche","255","349","24,325","61,397","731","23,497","869","5,121","256","1,654","839","65","4,110","122,864","154,338"
"5","COAHUILA","1","I","Saltillo","270","468","46,159","88,781","1,158","7,458","4,221","1,179","1,109","6,514","2,080","25","3,185","161,869","234,822"
"5","COAHUILA","2","II","Torreón","138","228","32,223","39,935","278","8,121","2,159","804","81","1,707","830","99","1,477","87,714","120,817"
"5","COAHUILA","3","III","Monclova","202","286","34,272","35,140","419","7,240","479","429","68","1,625","292","26","1,456","81,446","131,028"
"5","COAHUILA","4","IV","Piedras Negras","189","301","24,379","54,380","502","8,965","1,614","3,214","112","873","350","22","2,859","97,270","143,011"
"5","COAHUILA","5","V","Frontera","222","287","13,966","35,223","230","4,939","1,522","763","120","3,312","306","53","1,818","62,252","108,607"
"5","COAHUILA","6","VI","Torreón","291","471","43,582","76,767","587","29,192","8,005","1,739","227","2,530","1,253","1,217","4,102","169,201","237,536"
"5","COAHUILA","7","VII","San Pedro C.","199","272","16,540","37,124","351","16,081","1,379","1,747","65","1,600","459","25","2,288","77,659","125,359"
"6","COLIMA","1","I","Colima","169","280","29,878","54,327","387","11,190","1,901","958","1,015","1,301","1,510","36","2,528","105,031","129,294"
"6","COLIMA","2","II","Manzanillo","167","268","20,560","53,229","469","13,403","2,232","291","724","639","586","12","3,092","95,237","125,543"
"7","CHIAPAS","1","I","Tuxtla Gutiérrez","276","520","41,717","81,566","1,314","38,407","3,376","1,600","450","6,049","2,349","115","6,963","183,906","287,430"
"7","CHIAPAS","2","II","San Cristóbal","191","295","6,299","56,575","1,046","35,000","2,567","666","165","1,333","830","389","8,459","113,329","154,062"
"7","CHIAPAS","3","III","Comitán","265","391","7,632","67,541","784","38,268","1,048","888","234","1,732","371","802","9,750","129,050","194,410"
"7","CHIAPAS","4","IV","Pichucalco","192","281","13,763","49,854","709","20,949","1,349","601","240","1,890","455","12","6,524","96,346","144,056"
"7","CHIAPAS","5","V","Tapachula","231","348","10,580","46,947","769","58,126","1,814","1,635","204","2,467","555","1,029","7,893","132,019","179,842"
"7","CHIAPAS","6","VI","Palenque","190","343","2,948","51,126","507","37,196","3,766","583","188","1,499","283","28","8,499","106,623","176,226"
"7","CHIAPAS","7","VII","Huixtla","180","289","5,812","46,862","926","31,791","868","492","77","815","309","55","6,450","94,457","145,324"
"7","CHIAPAS","8","VIII","Tonalá","190","319","17,023","45,501","800","27,368","2,000","606","216","1,932","357","144","4,664","100,611","162,107"
"7","CHIAPAS","9","IX","Ococingo","213","369","2,268","50,379","363","47,453","2,814","562","137","1,976","237","1,359","9,083","116,631","182,417"
"8","CHIHUAHUA","1","I","Chihuhua","206","283","31,958","68,106","414","4,192","810","234","193","4,335","1,052","32","2,349","113,675","144,178"
"8","CHIHUAHUA","2","II","Hidalgo Parral","255","316","17,062","54,870","371","2,836","372","529","560","1,805","322","14","4,081","82,822","121,364"
"8","CHIHUAHUA","3","III","Ciudad Juárez","141","166","19,243","32,957","194","3,820","287","143","180","1,094","326","39","2,310","60,593","81,712"
"8","CHIHUAHUA","4","IV","Ciudad Juárez","384","507","66,895","100,388","492","12,880","984","661","302","8,603","1,454","444","4,499","197,602","255,368"
"8","CHIHUAHUA","5","V","Ciudad Guerrero","288","318","7,928","41,345","295","8,356","382","358","74","675","107","13","3,214","62,747","90,869"
"8","CHIHUAHUA","6","VI","Ciudad Camargo","272","335","34,260","70,508","490","3,760","318","872","116","2,306","485","30","2,433","115,578","152,675"
"8","CHIHUAHUA","7","VII","Chihuhua","378","528","57,307","105,939","756","10,704","8,198","441","240","8,561","1,563","29","4,242","197,980","253,839"
"8","CHIHUAHUA","8","VIII","Ciudad Juárez","248","327","37,454","67,717","433","7,151","685","440","202","4,515","622","57","4,077","123,353","162,488"
"8","CHIHUAHUA","9","IX","N. Casas Grandes","241","266","18,366","47,921","272","6,112","222","540","76","2,419","204","3","2,459","78,594","103,408"
"8","CHIHUAHUA","10","X","Ciudad Cuautémoc","275","315","16,123","56,483","336","3,350","205","252","82","1,225","338","4","3,535","81,933","110,900"
"9","DISTRITO FEDERAL","1","I","Distrito Federal","63","113","15,825","15,599","256","8,635","527","222","164","2,242","1,817","22","1,035","46,344","57,377"
"9","DISTRITO FEDERAL","2","II","Distrito Federal","68","128","12,182","19,634","344","11,126","365","289","231","2,075","1,744","530","1,243","49,763","71,211"
"9","DISTRITO FEDERAL","3","III","Distrito Federal","70","128","12,944","25,299","412","10,482","650","331","333","2,505","2,084","506","1,633","57,179","70,757"
"9","DISTRITO FEDERAL","4","IV","Distrito Federal","69","129","13,681","26,032","385","10,379","1,043","330","257","2,186","1,842","16","1,623","57,774","71,835"
"9","DISTRITO FEDERAL","5","V","Distrito Federal","55","113","9,519","20,394","263","10,192","726","220","185","1,719","1,665","31","1,481","46,395","59,138"
"9","DISTRITO FEDERAL","6","VI","Distrito Federal","58","109","12,788","20,407","413","8,882","911","287","177","1,976","1,775","19","1,475","49,110","60,120"
"9","DISTRITO FEDERAL","7","VII","Distrito Federal","68","127","16,976","20,523","398","11,383","525","232","201","1,959","2,304","27","1,171","55,699","67,875"
"9","DISTRITO FEDERAL","8","VIII","Distrito Federal","100","171","23,555","32,093","353","10,020","427","352","242","2,359","2,506","15","1,606","73,528","89,084"
"9","DISTRITO FEDERAL","9","IX","Distrito Federal","73","141","16,617","22,811","373","10,572","668","331","229","2,225","2,017","20","1,273","57,136","69,019"
"9","DISTRITO FEDERAL","10","X","Distrito Federal","258","459","51,775","73,375","1,360","36,447","3,241","1,120","849","8,023","5,077","530","5,190","186,987","231,362"
"9","DISTRITO FEDERAL","11","XI","Distrito Federal","79","142","17,488","24,852","350","8,896","463","324","221","2,326","1,796","11","1,405","58,132","69,079"
"9","DISTRITO FEDERAL","12","XII","Distrito Federal","69","137","15,092","24,266","549","10,965","983","317","312","2,068","1,998","48","1,549","58,147","69,887"
"9","DISTRITO FEDERAL","13","XIII","Distrito Federal","64","121","13,623","21,027","344","10,254","555","327","181","2,563","1,669","13","1,392","51,948","66,645"
"9","DISTRITO FEDERAL","14","XIV","Distrito Federal","86","158","19,679","27,682","546","15,218","563","399","275","3,283","2,576","20","1,586","71,827","86,580"
"9","DISTRITO FEDERAL","15","XV","Distrito Federal","135","264","29,887","46,834","784","22,832","2,808","737","586","4,750","4,217","35","3,152","116,622","140,708"
"9","DISTRITO FEDERAL","16","XVI","Distrito Federal","74","148","20,289","20,326","266","15,562","330","206","410","1,999","1,648","24","1,055","62,115","81,948"
"9","DISTRITO FEDERAL","17","XVII","Distrito Federal","83","166","20,079","29,582","429","12,078","700","321","246","3,043","2,196","480","1,748","70,902","84,739"
"9","DISTRITO FEDERAL","18","XVIII","Distrito Federal","67","122","13,800","22,752","368","11,828","418","464","202","2,057","1,716","13","1,360","54,978","67,333"
"9","DISTRITO FEDERAL","19","XIX","Distrito Federal","96","174","21,332","29,753","563","14,224","589","724","233","2,427","2,328","26","1,738","73,937","89,667"
"9","DISTRITO FEDERAL","20","XX","Distrito Federal","113","216","28,168","35,950","584","16,392","1,359","493","431","3,608","2,599","21","2,137","91,742","112,115"
"9","DISTRITO FEDERAL","21","XXI","Distrito Federal","168","312","35,135","53,327","1,064","27,334","1,301","701","616","5,755","4,722","48","3,240","133,243","161,565"
"9","DISTRITO FEDERAL","22","XXII","Distrito Federal","216","401","47,357","63,466","1,595","45,175","2,120","1,262","658","6,140","7,256","588","4,479","180,096","217,046"
"9","DISTRITO FEDERAL","23","XXIII","Distrito Federal","243","442","47,950","86,202","1,410","34,234","2,931","1,156","1,017","6,937","5,985","173","6,095","194,090","235,067"
"9","DISTRITO FEDERAL","24","XXIV","Distrito Federal","408","741","76,111","112,370","3,251","82,129","3,360","1,708","1,520","9,747","13,264","535","8,208","312,203","384,060"
"9","DISTRITO FEDERAL","25","XXV","Distrito Federal","131","265","25,783","43,417","869","26,635","2,707","841","820","4,544","3,718","57","3,265","112,656","140,434"
"9","DISTRITO FEDERAL","26","XXVI","Distrito Federal","276","509","50,317","93,148","1,852","51,318","1,908","1,485","1,069","8,440","7,197","671","5,855","223,260","270,976"
"9","DISTRITO FEDERAL","27","XXVII","Distrito Federal","316","584","79,730","94,557","1,612","53,159","1,730","1,412","853","10,454","10,864","191","4,307","258,869","311,333"
"9","DISTRITO FEDERAL","28","XXVIII","Distrito Federal","172","305","37,227","49,726","1,171","25,782","1,114","678","498","5,386","3,927","37","2,976","128,522","158,120"
"9","DISTRITO FEDERAL","29","XXIX","Distrito Federal","82","158","19,666","25,564","646","11,667","648","360","306","2,565","2,163","13","1,484","65,082","78,810"
"9","DISTRITO FEDERAL","30","XXX","Distrito Federal","93","177","17,754","32,876","467","15,726","1,773","406","290","2,906","2,230","890","1,909","77,227","92,623"
"9","DISTRITO FEDERAL","31","XXXI","Distrito Federal","111","219","26,925","40,297","688","19,608","1,370","602","656","4,179","4,592","36","3,194","102,147","122,564"
"9","DISTRITO FEDERAL","32","XXXII","Distrito Federal","66","122","14,770","23,423","346","9,411","354","209","151","1,879","1,790","27","1,480","53,840","67,199"
"9","DISTRITO FEDERAL","33","XXXIII","Distrito Federal","60","105","11,806","15,703","258","8,488","337","262","178","1,571","1,494","26","1,235","41,358","51,627"
"9","DISTRITO FEDERAL","34","XXXIV","Distrito Federal","124","224","21,435","37,008","702","19,115","1,045","546","641","3,737","4,201","337","2,434","91,201","115,172"
"9","DISTRITO FEDERAL","35","XXXV","Distrito Federal","72","132","15,386","25,072","390","11,940","532","377","234","2,485","2,118","28","1,626","60,188","73,353"
"9","DISTRITO FEDERAL","36","XXXVI","Distrito Federal","112","184","31,035","27,377","433","14,240","419","382","301","3,612","2,889","37","1,569","82,294","97,817"
"9","DISTRITO FEDERAL","37","XXXVII","Distrito Federal","117","209","23,950","34,969","630","17,521","855","533","297","3,784","3,272","21","2,005","87,837","110,876"
"9","DISTRITO FEDERAL","38","XXXVIII","Distrito Federal","277","474","56,280","82,886","1,602","37,528","2,913","1,022","723","7,840","6,275","472","5,666","203,207","244,805"
"9","DISTRITO FEDERAL","39","XXXIX","Distrito Federal","93","173","27,666","27,287","496","18,136","615","375","294","2,957","3,070","28","1,470","82,394","98,330"
"9","DISTRITO FEDERAL","40","XL","Distrito Federal","655","1,219","112,696","203,466","4,424","116,168","6,830","3,677","1,792","18,287","14,398","1,316","17,912","500,966","614,508"
"10","DURANGO","1","I","Durango","198","316","45,041","51,900","429","3,944","283","265","169","20,410","859","12","3,223","126,535","163,348"
