"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," AC"," PRI"," AM"," PCD"," PARM"," DSPPN"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"1","AGUASCALIENTES","1","Jesús María","149","303","44,014","42,112","7,847","732","578","1,141","28","2,278","98,730","168,496"
"1","AGUASCALIENTES","2","Aguascalientes","164","355","77,206","41,182","12,098","1,520","941","4,393","44","2,067","139,451","200,972"
"1","AGUASCALIENTES","3","Aguascalientes","173","352","69,754","43,085","10,588","1,678","1,025","4,087","27","2,048","132,292","192,922"
"2","BAJA CALIFORNIA","1","Mexicali","244","442","61,490","60,351","13,574","893","653","1,705","17","3,157","141,840","231,871"
"2","BAJA CALIFORNIA","2","Mexicali","239","455","69,428","54,033","12,707","708","623","1,934","33","2,521","141,987","234,479"
"2","BAJA CALIFORNIA","3","Ensenada","277","550","84,454","58,911","17,418","1,970","1,115","3,267","45","3,602","170,782","294,623"
"2","BAJA CALIFORNIA","4","Tijuana","182","487","74,570","53,204","14,515","872","893","2,783","68","2,261","149,166","288,765"
"2","BAJA CALIFORNIA","5","Tijuana","204","418","62,580","44,538","9,808","686","730","2,362","53","1,915","122,672","228,911"
"2","BAJA CALIFORNIA","6","Tijuana","222","416","58,915","45,046","8,521","676","686","2,210","84","2,199","118,337","220,290"
"3","BAJA CALIFORNIA SUR","1","Santa Rosalía","130","188","14,515","16,414","16,291","210","227","786","19","1,324","49,786","76,712"
"3","BAJA CALIFORNIA SUR","2","La Paz","221","362","27,496","34,085","47,000","641","577","1,686","26","1,898","113,409","173,443"
"4","CAMPECHE","1","Campeche","255","417","49,428","60,530","18,258","1,048","2,405","2,503","489","5,546","140,207","198,510"
"4","CAMPECHE","2","Ciudad del Carmen","235","400","34,081","51,047","20,733","1,708","1,171","1,144","422","4,595","114,901","186,037"
"5","COAHUILA","1","Piedras Negras","231","418","42,731","64,384","6,862","324","841","467","18","2,193","117,820","221,907"
"5","COAHUILA","2","San Pedro","208","316","22,178","37,400","18,211","435","505","643","228","2,125","81,725","152,268"
"5","COAHUILA","3","Monclova","258","426","63,044","50,557","7,391","378","436","1,073","14","1,786","124,679","217,065"
"5","COAHUILA","4","Saltillo","225","387","55,179","46,593","7,050","458","416","1,347","28","1,908","112,979","196,429"
"5","COAHUILA","5","Torreón","204","395","53,631","53,272","19,715","727","799","1,579","1,030","3,187","133,940","218,847"
"5","COAHUILA","6","Torreón","183","344","66,464","44,229","9,914","537","373","1,656","26","1,371","124,570","191,839"
"5","COAHUILA","7","Saltillo","201","370","46,226","54,067","6,614","551","576","1,513","24","1,599","111,170","194,209"
"6","COLIMA","1","Colima","169","332","53,986","44,096","12,547","2,934","524","1,526","39","2,233","117,885","168,479"
"6","COLIMA","2","Manzanillo","167","326","35,505","41,468","14,756","1,297","376","2,713","15","2,361","98,491","163,182"
"7","CHIAPAS","1","Palenque","160","359","13,685","39,424","33,458","477","374","460","25","5,248","93,151","188,003"
"7","CHIAPAS","2","Pichucalco","155","304","14,248","40,154","20,529","1,030","431","200","14","5,178","81,784","155,007"
"7","CHIAPAS","3","Ocosingo","150","342","4,133","43,101","27,325","362","383","429","64","4,062","79,859","170,428"
"7","CHIAPAS","4","Ocosocoautla de Espinosa","162","320","17,702","35,246","23,072","392","411","491","36","2,915","80,265","162,671"
"7","CHIAPAS","5","San Cristóbal de las Casas","179","372","17,537","48,441","18,933","728","1,073","572","5","5,518","92,807","180,894"
"7","CHIAPAS","6","Chiapa de Corzo","155","320","16,593","38,774","23,350","513","351","364","59","3,258","83,262","172,727"
"7","CHIAPAS","7","Tonalá","156","306","26,177","31,056","19,206","356","362","272","24","2,738","80,191","162,122"
"7","CHIAPAS","8","Comitán de Domínguez","149","285","8,800","42,049","18,015","366","483","324","388","4,811","75,236","152,259"
"7","CHIAPAS","9","Tuxtla Gutiérrez","153","411","88,125","32,815","12,467","543","419","1,566","13","2,671","138,619","244,134"
"7","CHIAPAS","10","Motozintla de Mendoza","150","272","3,398","37,224","22,805","240","205","88","5","3,403","67,368","135,467"
"7","CHIAPAS","11","Huixtla","142","276","15,142","35,293","22,311","519","386","134",,"3,000","76,785","146,375"
"7","CHIAPAS","12","Tapachula","214","399","31,646","44,983","35,151","1,076","871","578","47","5,220","119,572","217,498"
"8","CHIHUAHUA","1","Nuevo Casas Grandes","326","383","36,241","40,121","11,254","417","395","317","362","2,408","91,515","159,255"
"8","CHIHUAHUA","2","Ciudad Juárez","280","434","62,415","49,801","6,445","897","479","1,334","22","2,855","124,248","231,213"
"8","CHIHUAHUA","3","Ciudad Juárez","246","484","80,930","57,477","10,284","1,015","549","1,482","21","2,487","154,245","265,858"
"8","CHIHUAHUA","4","Ciudad Juárez","249","461","62,270","58,087","10,677","883","460","1,189","64","3,396","137,026","255,604"
"8","CHIHUAHUA","5","Delicias","326","463","61,135","50,900","9,731","577","550","1,091","17","2,492","126,493","213,857"
"8","CHIHUAHUA","6","Chihuahua","257","435","81,550","53,675","13,781","1,213","759","2,720","38","2,055","155,791","234,725"
"8","CHIHUAHUA","7","Cuauhtémoc","429","525","34,382","48,398","9,603","653","451","553","25","2,795","96,860","187,253"
"8","CHIHUAHUA","8","Chihuahua","253","408","66,474","54,057","6,842","1,209","991","1,954","43","2,181","133,751","209,891"
"8","CHIHUAHUA","9","Hidalgo del Parral","327","426","41,666","49,200","4,570","426","330","802","24","2,897","99,915","180,732"
"9","DISTRITO FEDERAL","1","Gustavo A. Madero","215","426","61,162","34,725","50,977","4,395","1,721","6,786","55","3,704","163,525","243,297"
