"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PT"," PVEM"," CONVERGENCIA"," PSN"," PAS"," MP"," PLM"," FC"," APT"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"1","AGUASCALIENTES","1","Jesús María","149","332","29,755","31,523","3,341","1,823","4,478","404","56","665","242","127","122",,"56","1,998","74,590","189,353"
"1","AGUASCALIENTES","2","Aguascalientes","164","384","43,559",,"7,379","2,660",,"1,799","289","640","1,401","294","476","34,281","81","3,687","96,546","225,505"
"1","AGUASCALIENTES","3","Aguascalientes","173","379","37,748",,"7,068","3,087",,"859","283","470","1,119","207","428","35,679","49","3,346","90,343","215,705"
"2","BAJA CALIFORNIA","1","Mexicali","244","493","37,149","36,236","7,095","622","9,813","573","100","206","618","203","163",,"47","4,337","97,162","266,104"
"2","BAJA CALIFORNIA","2","Mexicali","239","488","40,101","26,053","4,650","1,030","8,797","943","134","204","1,043","301","235",,"64","3,861","87,416","264,893"
"2","BAJA CALIFORNIA","3","Ensenada","277","634","45,605","39,658","7,597","5,381","8,585","1,464","172","246","590","360","490",,"87","4,746","114,981","349,404"
"2","BAJA CALIFORNIA","4","Tijuana","182","588","41,871","25,562","6,118","3,612","10,973","730","129","162","555","245","830",,"53","3,517","94,357","368,131"
"2","BAJA CALIFORNIA","5","Tijuana","204","463","33,913","22,520","4,688","1,796","8,131","610","88","119","946","197","494",,"41","3,193","76,736","264,562"
"2","BAJA CALIFORNIA","6","Tijuana","222","473","31,636","26,219","4,586","1,292","8,768","651","97","163","626","145","583",,"49","3,315","78,130","256,170"
"3","BAJA CALIFORNIA SUR","1","Santa Rosalía","130","192","5,824",,"14,074","1,165",,"207","31","333","85","85","141","8,991","4","940","31,880","81,213"
"3","BAJA CALIFORNIA SUR","2","La Paz","221","407","9,426",,"31,919","3,749",,"801","187","1,642","572","701","458","21,836","30","3,234","74,555","205,805"
"4","CAMPECHE","1","Campeche","255","444","55,736",,"2,662","1,223",,"13,044","195","1,328","610","317","440","63,251","393","7,732","146,931","220,903"
"4","CAMPECHE","2","Ciudad del Carmen","235","426","44,103",,"3,641","3,386",,"15,516","161","425","894","138","286","42,156","13","5,521","116,240","209,925"
"5","COAHUILA","1","Piedras Negras","229","468","19,401","31,901","5,296","613","4,804","4,075","136","71","83","103","35",,"18","1,758","68,294","257,475"
"5","COAHUILA","2","San Pedro","207","324","8,409","24,014","7,678","879","2,300","1,508","97","469","71","66","253",,"4","1,132","46,880","161,685"
"5","COAHUILA","3","Monclova","258","447","26,432","28,310","2,098","912","4,539","554","127","548","133","89","62",,"24","1,180","65,008","235,315"
"5","COAHUILA","4","Saltillo","224","429","30,464","33,092","3,022","1,120","5,192","272","301","313","285","79","75",,"39","1,770","76,024","228,084"
"5","COAHUILA","5","Torreón","204","432","29,882","46,639","6,421","7,029","5,208","388","121","332","350","284","180",,"18","3,934","100,786","247,848"
"5","COAHUILA","7","Saltillo","201","400","24,974","32,688","2,525","1,004","5,981","309","445","258","236","89","98",,"29","2,022","70,658","218,235"
"6","COLIMA","1","Colima","169","355","42,321","40,920","16,088","2,159","2,607","550","166","268","645","167","1,158",,"12","2,397","109,458","185,742"
"6","COLIMA","2","Manzanillo","167","343","37,301","38,103","8,392","1,625","1,530","139","89","945","241","65","387",,"38","2,513","91,368","180,328"
"7","CHIAPAS","1","Palenque","160","388","5,279","30,157","23,452","1,708","1,448","371","55","588","118","198","96",,"37","2,933","66,440","210,282"
"7","CHIAPAS","2","Pichucalco","155","325","8,570","21,056","13,199","2,429","1,242","665","384","380","86","80","107",,"337","2,134","50,669","170,550"
"7","CHIAPAS","3","Ocosingo","150","400","1,449","28,466","24,970","2,826","3,717","1,127","74","753","177","129","93",,"28","2,853","66,662","193,267"
"7","CHIAPAS","4","Ocosocoautla de Espinosa","162","338","9,756","21,554","7,456","4,629","3,546","376","102","1,157","174","190","90",,"27","1,416","50,473","179,849"
"7","CHIAPAS","5","San Cristóbal de las Casas","179","408","5,396","25,526","5,775","2,002","5,298","1,648","251","10,724","7,403","328","194",,"58","4,473","69,076","203,816"
"7","CHIAPAS","6","Chiapa de Corzo","155","348","9,357","22,405","14,332","1,508","6,574","355","84","1,536","106","52","256",,"9","2,015","58,589","189,424"
"7","CHIAPAS","7","Tonalá","156","321","10,892","18,934","14,458","7,920","1,511","262","33","405","145","21","183",,"13","1,369","56,146","172,427"
"7","CHIAPAS","8","Comitán de Domínguez","151","315","2,908","25,804","6,185","1,083","3,512","529","75","777","4,601","74","342",,"30","2,791","48,711","167,144"
"7","CHIAPAS","9","Tuxtla Gutiérrez","153","461","32,804","18,720","5,749","1,106","23,402","633","109","728","542","295","642",,"55","2,467","87,252","282,581"
"7","CHIAPAS","10","Motozintla de Mendoza","150","297","3,260","21,519","13,281","3,457","1,369","115","27","397","70","18","141",,"11","1,750","45,415","148,861"
"7","CHIAPAS","11","Huixtla","142","291","18,181","23,501","7,237","684","2,929","87","55","318","80","23","77",,"5","1,516","54,693","157,763"
"7","CHIAPAS","12","Tapachula","215","424","25,721","28,150","11,261","2,458","4,896","404","89","536","174","65","144",,"15","3,549","77,462","236,355"
"8","CHIHUAHUA","1","Nuevo Casas Grandes","324","403","18,001",,"6,270","2,237",,"393","83","104","282","58","91","27,542","5","2,373","57,439","173,943"
"8","CHIHUAHUA","2","Ciudad Juárez","280","483","30,556",,"2,837","953",,"734","185","1,095","615","217","276","36,701","29","3,706","77,904","256,188"
"8","CHIHUAHUA","3","Ciudad Juárez","246","538","39,590",,"3,696","1,852",,"907","178","467","968","243","523","45,710","54","3,543","97,731","307,215"
"8","CHIHUAHUA","4","Ciudad Juárez","380","618","31,347",,"4,017","2,837",,"723","231","530","704","234","390","54,624","41","4,747","100,425","316,822"
"8","CHIHUAHUA","5","Delicias","323","489","37,083",,"6,282","2,851",,"590","94","159","311","123","492","32,083","8","2,733","82,809","230,919"
"8","CHIHUAHUA","6","Chihuahua","257","479","48,683",,"5,052","2,393",,"1,010","151","257","621","279","284","48,229","56","3,478","110,493","268,080"
"8","CHIHUAHUA","7","Cuauhtémoc","430","548","20,605",,"4,297","1,212",,"356","182","380","412","113","176","33,751","10","2,724","64,218","208,678"
"8","CHIHUAHUA","8","Chihuahua","253","444","30,210",,"11,996","1,874",,"824","153","196","347","187","194","39,964","29","3,683","89,657","229,149"
"8","CHIHUAHUA","9","Hidalgo del Parral","327","440","28,174",,"2,687","1,401",,"305","154","239","379","82","171","39,889","14","2,924","76,419","192,972"
"9","DISTRITO FEDERAL","1","Gustavo A. Madero","215","456","21,655","9,336","51,473","1,556","11,774","806","289","402","1,558","437","502",,"88","4,362","104,238","264,727"
"9","DISTRITO FEDERAL","2","Gustavo A. Madero","173","345","29,185","9,976","31,848","896","7,132","921","351","752","1,430","352","539",,"91","2,700","86,173","184,238"
"9","DISTRITO FEDERAL","3","Azcapotzalco","195","367","32,688","10,880","37,074","980","9,060","1,173","339","614","1,905","1,342","623",,"108","3,332","100,118","206,013"
"9","DISTRITO FEDERAL","4","Gustavo A. Madero","180","357","24,182","11,202","35,142","955","7,036","1,840","251","272","1,541","384","676",,"97","3,543","87,121","196,092"
"9","DISTRITO FEDERAL","5","Azcapotzalco","168","349","26,971","13,622","39,710","721","7,346","1,018","316","308","1,852","703","410",,"105","3,362","96,444","202,377"
"9","DISTRITO FEDERAL","6","Gustavo A. Madero","177","369","18,260","11,102","44,771","1,276","8,454","1,728","272","322","1,274","345","497",,"76","3,638","92,015","215,994"
