"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," APM"," PBT"," NUEVA ALIANZA"," ASDC"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"1","AGUASCALIENTES","1","Jesús María","151","368","48,064","28,212","19,483","6,179","2,022","441","2,576","106,977","215,404"
"1","AGUASCALIENTES","2","Aguascalientes","222","419","56,879","39,082","30,447","7,582","4,894","685","2,829","142,398","243,347"
"1","AGUASCALIENTES","3","Aguascalientes","217","439","74,940","41,477","20,550","7,939","3,786","526","2,998","152,216","244,949"
"2","BAJA CALIFORNIA","1","Mexicali","177","391","43,159","29,289","19,902","8,710","2,317","781","2,572","106,730","215,774"
"2","BAJA CALIFORNIA","2","Mexicali","220","450","58,990","35,378","18,571","7,269","3,401","367","2,434","126,410","243,476"
"2","BAJA CALIFORNIA","3","Ensenada","176","416","42,484","24,656","32,989","4,826","1,916","261","2,399","109,531","230,566"
"2","BAJA CALIFORNIA","4","Tijuana","180","407","43,328","22,859","19,164","7,398","2,765","265","1,677","97,456","236,962"
"2","BAJA CALIFORNIA","5","Tijuana","194","472","65,086","28,896","19,502","7,087","3,204","232","1,711","125,718","282,279"
"2","BAJA CALIFORNIA","6","Tijuana","274","537","57,120","33,519","22,110","8,907","3,197","329","2,124","127,306","290,383"
"2","BAJA CALIFORNIA","7","Mexicali","160","432","50,830","28,956","23,312","8,403","3,261","514","3,145","118,421","253,689"
"2","BAJA CALIFORNIA","8","Tijuana","137","438","49,921","27,702","23,642","7,507","2,961","265","2,075","114,073","271,182"
"3","BAJA CALIFORNIA SUR","1","Mulegé","196","329","24,015","17,370","36,178","3,464","2,262","243","1,764","85,296","152,121"
"3","BAJA CALIFORNIA SUR","2","La Paz","153","333","25,316","17,837","39,534","3,141","1,886","469","1,808","89,991","177,831"
"4","CAMPECHE","1","Campeche","255","476","53,791","58,324","32,699","15,191","1,665","221","5,900","167,791","246,551"
"4","CAMPECHE","2","Carmen","234","451","45,300","46,278","29,843","5,457","820","183","4,583","132,464","236,693"
"5","COAHUILA","1","Piedras Negras","181","427","42,071","39,907","17,161","6,398","1,430","292","2,227","109,486","246,907"
"5","COAHUILA","2","San Pedro","302","516","31,205","52,107","44,548","4,125","1,394","294","3,001","136,674","264,512"
"5","COAHUILA","3","Monclova","290","513","52,207","47,273","21,031","9,981","1,975","306","2,585","135,358","264,085"
"5","COAHUILA","4","Saltillo","139","354","38,296","52,073","12,946","5,180","2,155","399","2,137","113,186","209,434"
"5","COAHUILA","5","Torreón","260","489","56,339","51,344","30,516","3,633","2,154","586","3,173","147,745","262,298"
"5","COAHUILA","6","Torreón","187","414","79,645","41,800","25,567","4,463","2,336","327","1,991","156,129","248,459"
"5","COAHUILA","7","Saltillo","171","374","58,046","43,074","13,342","5,283","2,046","414","2,256","124,461","212,209"
"6","COLIMA","1","Colima","178","403","56,033","55,399","20,791","2,985","1,048","118","2,641","139,015","215,805"
"6","COLIMA","2","Manzanillo","158","357","54,250","40,469","11,487","2,561","659","131","2,499","112,056","194,480"
"7","CHIAPAS","1","Palenque","160","425","8,810","53,463","47,364","1,057","946","168","5,664","117,472","236,590"
"7","CHIAPAS","2","Bochil","142","369","8,618","43,889","30,781","644","508","131","4,441","89,012","182,078"
"7","CHIAPAS","3","Ocosingo","143","466","5,895","43,203","38,963","1,037","633","144","4,877","94,752","206,656"
"7","CHIAPAS","4","Ocozocoautla de Espinosa","182","397","20,033","38,918","35,846","2,523","1,122","347","4,101","102,890","215,707"
"7","CHIAPAS","5","San Cristóbal de las Casas","152","376","12,317","44,370","33,379","2,286","1,118","375","4,937","98,782","203,755"
"7","CHIAPAS","6","Tuxtla Gutiérrez","144","387","24,702","32,397","41,667","3,260","1,130","407","4,129","107,692","225,739"
"7","CHIAPAS","7","Tonalá","165","372","27,545","23,056","28,370","7,250","941","160","4,305","91,627","199,506"
"7","CHIAPAS","8","Comitán de Domínguez","177","394","8,084","39,487","34,062","2,685","733","285","4,712","90,048","215,360"
"7","CHIAPAS","9","Tuxtla Gutiérrez","125","413","37,403","39,974","52,897","3,658","2,286","383","3,668","140,269","256,453"
"7","CHIAPAS","10","Villaflores","175","389","17,288","32,587","40,081","2,786","740","242","4,495","98,219","213,743"
"7","CHIAPAS","11","Huixtla","197","419","17,691","37,837","42,305","1,481","791","366","5,028","105,499","227,909"
"7","CHIAPAS","12","Tapachula","164","365","23,333","38,986","36,259","3,400","1,495","582","4,131","108,186","210,548"
"8","CHIHUAHUA","1","Juárez","298","503","39,391","45,482","20,062","8,023","3,108","272","2,451","118,789","273,236"
"8","CHIHUAHUA","2","Juárez","251","440","29,488","38,118","12,304","3,633","1,604","175","2,617","87,939","238,605"
