"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PVEM"," PT"," CONVERGENCIA"," NUEVA ALIANZA"," PSD"," PRIMERO MEXICO"," SALVEMOS MEXICO"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL","OBSERVACIONES"
"1","AGUASCALIENTES","1","Jesús María","150","402","31,417","29,247","5,687","9,869","1,809","2,292","15,962","695",,"109","144","4,794","102,025","239,913",
"1","AGUASCALIENTES","2","Aguascalientes","222","471","28,692","31,722","4,738","17,380","2,790","5,201","13,075","1,512",,"141","394","9,636","115,281","282,949",
"1","AGUASCALIENTES","3","Aguascalientes","217","447","35,637","31,614","4,051","15,024","1,829","3,306","7,111","1,187",,"69","428","11,540","111,796","250,568",
"2","BAJA CALIFORNIA","1","Mexicali","177","432","37,055","21,537","4,267","6,239","1,100","751","11,412","701",,"65","75","4,842","88,044","245,405",
"2","BAJA CALIFORNIA","2","Mexicali","220","458","36,556","27,148","4,510","7,234","1,339","678","4,945","1,200",,"96","249","7,421","91,376","251,300",
"2","BAJA CALIFORNIA","3","Ensenada","176","448","31,178","23,660","6,643","7,931","3,806","1,175","4,462","971",,"138","182","5,960","86,106","255,360",
"2","BAJA CALIFORNIA","4","Tijuana","180","473","28,181","16,718","4,292","10,621","2,354","797","10,882","768",,"180","77","4,124","78,994","286,100",
"2","BAJA CALIFORNIA","5","Tijuana","194","495","34,580","19,282","5,737","11,278","1,483","1,046","4,031","997",,"123","215","6,099","84,871","294,994","El TEPJF en la distribución de votos para los partidos políticos  no descontó el voto anulado para la coalición PT-Convergencia a Convergencia que fue el partido con mayor votación en esa casilla."
"2","BAJA CALIFORNIA","6","Tijuana","274","561","34,903","25,118","4,168","14,191","1,777","1,359","6,331","909",,"189","181","6,508","95,634","309,942",
"2","BAJA CALIFORNIA","7","Mexicali","160","495","33,125","24,468","7,330","8,815","3,171","1,087","3,588","1,140",,"193","120","5,908","88,945","303,773",
"2","BAJA CALIFORNIA","8","Tijuana","137","511","32,099","24,168","5,329","13,285","2,131","1,582","4,407","1,307",,"177","121","5,193","89,799","326,306",
"3","BAJA CALIFORNIA SUR","1","Santa Rosalía","196","355","11,115","10,564","24,079","3,377","1,865","755","8,107","566",,"66","123","3,484","64,101","171,040",
"3","BAJA CALIFORNIA SUR","2","La Paz","211","422","10,087","19,959","24,399","4,652","1,784","1,063","2,603","754",,"150","105","4,131","69,687","221,217",
"4","CAMPECHE","1","Campeche","255","505","72,665","73,839","3,001","4,774","2,397","6,208","10,135","558",,"115","61","7,616","181,369","268,119",
"4","CAMPECHE","2","Ciudad del Carmen","233","482","62,315","69,916","2,861","3,555","1,151","3,039","2,262","326",,"350","25","5,410","151,210","265,694",
"5","COAHUILA","1","Piedras Negras","181","460","21,115","57,689","3,118","10,862","1,367","504","2,012","319",,"156","54","2,868","100,064","271,747",
"5","COAHUILA","2","San Pedro","302","535","20,946","73,408","5,942","6,328","2,277","649","5,909","328",,"203","213","3,339","119,542","282,533",
"5","COAHUILA","3","Monclova","290","546","25,483","72,026","2,916","6,090","1,173","1,001","3,560","360",,"118","61","3,277","116,065","288,439",
"5","COAHUILA","4","Saltillo","139","390","14,430","85,466","2,431","6,655","1,202","448","1,086","342",,"85","87","4,064","116,296","235,671",
"5","COAHUILA","5","Torreón","260","506","27,814","83,206","3,930","6,269","1,934","1,010","4,968","533",,"157","105","4,605","134,531","274,163",
"5","COAHUILA","6","Torreón","187","449","38,140","69,148","2,266","8,183","1,643","865","3,924","688",,"156","243","6,166","131,422","273,183",
"5","COAHUILA","7","Saltillo","171","391","21,699","63,989","4,413","6,655","1,241","451","2,073","412",,"62","162","5,001","106,158","224,327",
"6","COLIMA","1","Colima","178","442","60,731","58,774","2,838","5,237","12,665","949","3,884","528",,"47","53","4,437","150,143","239,397",
"6","COLIMA","2","Manzanillo","158","378","53,328","54,128","2,745","4,919","1,588","593","1,053","258",,"23","56","3,383","122,074","213,483",
"7","CHIAPAS","1","Palenque","160","474","5,360","29,701","54,881","10,837","3,154","4,419","2,149","309","2,407","585","30","5,238","119,070","261,748",
"7","CHIAPAS","2","Bochil","142","405","19,789","29,781","30,948","2,522","3,870","2,942","2,178","351","1,182","291","6","3,994","97,854","206,119","En la distribución de votos por partido político el TEPJF no descontó a los partido PRI y PVEM  los 9 votos anulados en las casillas para la coalición correspondiente. Este error se presenta también en la distribución de votos por candidatos."
"7","CHIAPAS","3","Ocosingo","143","503","23,617","24,953","33,823","2,830","2,080","1,201","2,584","1,793","1,469","83","26","5,010","99,469","232,718",
"7","CHIAPAS","4","Ocozocoautla de Espinosa","182","438","48,759","15,967","6,170","4,102","2,789","1,164","997","372","1,685","245","22","3,734","86,006","232,787",
"7","CHIAPAS","5","San Cristóbal de las Casas","152","418","9,174","31,261","19,879","3,863","3,602","5,131","2,165","963","2,110","469","119","7,624","86,360","227,806",
"7","CHIAPAS","6","Tuxtla Gutiérrez","144","432","33,801","11,444","13,356","7,189","2,293","5,014","2,430","665","1,399","383","152","5,734","83,860","253,631",
"7","CHIAPAS","7","Tonalá","165","385","41,282","19,771","7,830","2,779","4,785","470","2,261","380","918","132","5","2,594","83,207","212,326",
"7","CHIAPAS","8","Comitán de Domínguez","177","427","12,921","28,628","18,107","22,642","4,642","949","1,227","300","2,567","158","33","3,669","95,843","240,783",
"7","CHIAPAS","9","Tuxtla Gutiérrez","125","446","13,468","8,065","19,477","6,818","7,754","5,272","2,170","979","678","1,150","339","9,395","75,565","279,351",
"7","CHIAPAS","10","Villaflores","175","409","8,078","22,679","52,324","4,443","3,013","2,513","2,023","403","1,881","293","26","3,997","101,673","229,552",
"7","CHIAPAS","11","Huixtla","197","446","39,170","28,287","16,015","5,132","4,972","1,709","2,645","362","2,093","192","23","4,226","104,826","246,649",
"7","CHIAPAS","12","Tapachula","164","395","32,497","29,763","9,622","5,008","2,624","1,343","2,570","738","2,546","214","143","5,441","92,509","230,716",
"8","CHIHUAHUA","1","Juárez","298","606","19,684","30,625","5,452","19,887","2,623","1,190","4,997","735",,"230","114","5,547","91,084","348,181",
"8","CHIHUAHUA","2","Juárez","251","431","11,309","29,347","2,393","8,554","1,400","500","2,237","652",,"145","74","4,427","61,038","232,128",
"8","CHIHUAHUA","3","Juárez","236","478","24,174","23,773","2,375","12,162","1,806","913","3,007","649",,"41","254","8,928","78,082","274,032",
"8","CHIHUAHUA","4","Juárez","222","431","13,832","23,844","3,187","12,723","3,442","679","2,182","700",,"263","91","5,175","66,118","241,215",
