"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PVEM"," PT"," MOVIMIENTO CIUDADANO"," NUEVA ALIANZA"," PRI PVEM"," PRD PT MC"," PRD PT"," PRD MC"," PT MC"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL","OBSERVACIONES"
"1","AGUASCALIENTES","1","JESÚS MARÍA","150","417","39,408","47,803","8,810","7,888","4,618","1,534","25,679",,"2,014","688","116","158","114","12,054","150,884","256,074",
"1","AGUASCALIENTES","2","AGUASCALIENTES","222","526","51,578","51,317","17,585","9,837","4,440","3,683","20,528",,"4,243","861","282","164","315","14,691","179,524","310,665",
"1","AGUASCALIENTES","3","AGUASCALIENTES","217","447","57,508","45,599","12,902","8,096","2,571","2,272","11,576",,"2,562","593","160","128","209","12,034","156,210","245,934",
"2","BAJA CALIFORNIA","1","MEXICALI","177","442","45,674","41,297","14,489","4,800","1,838","2,091","8,395","10,354","3,801","964","371","153","64","3,863","138,154","254,679",
"2","BAJA CALIFORNIA","2","MEXICALI","220","436","51,840","41,451","15,644","3,919","1,691","2,176","6,086","9,588","3,719","848","355","132","113","3,824","141,386","233,080",
"2","BAJA CALIFORNIA","3","ENSENADA","176","471","33,779","47,195","26,955","4,438","5,547","2,306","4,961","9,539","5,858","2,197","389","194","73","3,684","147,115","263,022",
"2","BAJA CALIFORNIA","4","TIJUANA","292","550","41,986","38,008","24,966","6,257","9,054","3,213","10,663","9,808","7,144","2,305","424","286","55","3,558","157,727","313,117",
"2","BAJA CALIFORNIA","5","TIJUANA","194","469","48,353","32,532","24,447","5,991","3,948","3,426","5,460","8,571","5,696","1,611","457","197","124","3,458","144,271","271,425",
"2","BAJA CALIFORNIA","6","TIJUANA","274","538","43,542","45,211","24,402","6,020","3,453","3,810","6,754","12,382","6,487","1,533","532","203","89","3,875","158,293","295,543",
"2","BAJA CALIFORNIA","7","MEXICALI","195","554","47,494","52,892","23,108","6,760","4,468","2,647","6,631","13,875","6,025","1,686","394","178","93","4,258","170,509","328,862",
"2","BAJA CALIFORNIA","8","TIJUANA","263","616","49,460","48,813","32,812","7,373","4,799","4,650","7,514","11,905","7,980","2,165","655","271","141","3,879","182,417","363,507",
"3","BAJA CALIFORNIA SUR","1","SANTA ROSALIA","195","373","42,876","34,161","10,612","2,222","3,509","2,015","4,543",,"3,989","1,184","186","159","72","9,494","115,022","185,900",
"3","BAJA CALIFORNIA SUR","2","LA PAZ","238","465","45,484","41,909","14,094","4,442","2,928","2,613","5,012",,"4,513","1,367","291","164","106","11,389","134,312","244,442",
"4","CAMPECHE","1","CAMPECHE","255","526","50,465","83,741","14,970","4,230","2,579","5,533","14,355",,"4,109","906","345","478","156","17,521","199,388","281,717",
"4","CAMPECHE","2","CIUDAD DEL CARMEN","233","504","58,087","60,323","16,625","3,571","3,544","3,638","5,162","14,255","4,694","1,543","343","392","69","7,036","179,282","282,095",
"5","COAHUILA","1","PIEDRAS NEGRAS","198","474","54,866","57,253","11,578","5,549","2,456","1,541","4,441",,"2,290","669","159","119","88","11,023","152,032","274,928","SM-JIN-36 Y SUP-REC-106"
"5","COAHUILA","2","SAN PEDRO","300","536","61,226","67,710","17,088","5,284","3,665","1,869","5,783",,"3,285","1,145","259","168","56","11,733","179,271","281,517",
"5","COAHUILA","3","MONCLOVA","292","561","69,680","58,396","15,994","8,806","3,400","2,042","4,319",,"3,202","869","189","148","91","11,388","178,524","298,290",
"5","COAHUILA","4","SALTILLO","208","448","48,361","61,539","12,537","5,660","2,891","1,382","6,658",,"2,611","786","164","130","84","12,456","155,259","257,370",
"5","COAHUILA","5","TORREÓN","298","509","56,722","64,924","18,013","6,115","3,664","1,653","5,606",,"4,127","1,057","233","144","81","13,248","175,587","271,731",
"5","COAHUILA","6","TORREÓN","187","482","76,662","50,925","25,033","4,619","4,239","2,198","7,706",,"5,122","1,245","245","160","128","11,884","190,166","288,752",
"5","COAHUILA","7","SALTILLO","171","402","54,143","52,272","10,764","3,736","2,502","1,145","8,353",,"2,194","639","119","89","68","9,831","145,855","229,236",
"6","COLIMA","1","COLIMA","213","475","57,230","58,077","15,608","3,834","9,017","1,914","3,806","7,054","2,883","1,075","149","207","109","5,623","166,586","251,744",
"6","COLIMA","2","MANZANILLO","158","390","50,441","52,793","8,423","3,850","2,216","1,031","1,812","6,178","1,516","640","123","66","42","3,892","133,023","220,151",
"7","CHIAPAS","1","PALENQUE","160","496","25,459","44,134","34,591","51,125","8,139","2,064","2,899","6,002","6,797","4,211","339","216","36","11,562","197,574","275,943",
"7","CHIAPAS","2","BOCHIL","142","422","15,565","54,290","33,249","27,396","5,255","887","6,113","2,938","2,361","2,146","94","52","60","9,369","159,775","217,101",
"7","CHIAPAS","3","OCOSINGO","143","537","23,339","39,661","25,613","46,838","3,522","1,468","12,600",,"3,111","1,601","157","79","42","13,450","171,481","249,269",
"7","CHIAPAS","4","OCOZOCOAUTLA DE ESPINOSA","182","460","26,711","39,761","22,295","37,948","4,061","2,325","12,534","7,777","3,475","1,757","213","128","78","10,747","169,810","241,695",
"7","CHIAPAS","5","SAN CRISTÓBAL DE LAS CASAS","152","452","18,948","54,333","28,470","30,217","3,210","1,900","4,514","7,974","3,915","1,708","246","103","104","11,309","166,951","243,777",
"7","CHIAPAS","6","TUXTLA GUTIÉRREZ","144","466","34,106","38,368","27,083","34,588","4,187","2,092","5,584","11,217","4,727","2,090","239","104","136","12,287","176,808","274,696",
"7","CHIAPAS","7","TONALÁ","165","395","30,631","28,663","18,480","23,948","5,806","1,687","9,711","6,180","3,146","1,994","178","128","59","7,907","138,518","220,074",
"7","CHIAPAS","8","COMITÁN DE DOMÍNGUEZ","178","456","10,729","40,605","19,223","71,823","5,767","1,389","6,737",,"3,301","2,460","188","115","88","15,423","177,848","260,402",
"7","CHIAPAS","9","TUXTLA GUTIÉRREZ","170","479","21,296","20,392","35,512","24,232","4,758","3,082","14,995","15,488","8,872","2,680","438","206","227","12,878","165,056","290,398","En este caso se tomaron los resultados consignados en la sentencia del TEPJF SX -JIN-13 y SUP-REC-97"
"7","CHIAPAS","10","VILLAFLORES","175","434","29,720","35,266","18,466","47,234","3,213","1,415","7,420",,"2,785","1,510","171","86","44","14,445","161,775","243,908","SX -JIN-10"
"7","CHIAPAS","11","HUIXTLA","197","469","30,032","41,956","28,012","33,975","6,302","1,401","2,703","8,318","3,635","3,261","265","121","56","10,667","170,704","256,380",
"7","CHIAPAS","12","TAPACHULA","198","434","44,963","34,813","15,592","15,646","3,384","1,614","10,598","11,808","4,116","1,530","240","145","103","8,278","152,830","242,960",
"8","CHIHUAHUA","1","JUÁREZ","386","718","31,402","61,613","25,081","12,542","4,996","2,820","9,516",,"7,225","1,820","419","261","127","17,100","174,922","378,713",
"8","CHIHUAHUA","2","JUÁREZ","251","363","18,169","31,531","11,117","5,378","2,600","1,301","4,091",,"3,177","916","221","197","45","9,451","88,194","195,331",
"8","CHIHUAHUA","3","JUÁREZ","308","488","39,168","36,120","18,843","7,443","3,138","2,457","7,584",,"4,545","1,016","296","172","143","9,776","130,701","245,622",
"8","CHIHUAHUA","4","JUÁREZ","240","394","20,684","31,856","13,261","6,877","3,820","1,645","5,984",,"4,235","1,250","227","169","67","10,757","100,832","210,874",
"8","CHIHUAHUA","5","DELICIAS","382","604","53,052","72,698","12,453","4,875","2,672","1,320","9,381",,"2,526","929","197","151","73","12,768","173,095","305,646",
"8","CHIHUAHUA","6","CHIHUAHUA","303","524","63,699","63,940","13,424","6,479","2,349","1,675","8,321",,"2,491","734","224","120","161","13,979","177,596","282,015","SG -JIN-4"
"8","CHIHUAHUA","7","CUAUHTÉMOC","501","690","32,205","66,539","15,927","6,839","3,588","1,796","7,787",,"3,133","1,261","346","168","98","14,831","154,518","297,284",
"8","CHIHUAHUA","8","CHIHUAHUA","265","579","55,186","62,921","12,933","8,346","4,378","1,578","9,902",,"2,978","910","227","123","164","15,666","175,312","317,924",
"8","CHIHUAHUA","9","HIDALGO DEL PARRAL","434","614","33,999","77,589","6,381","3,325","1,963","644","8,289",,"1,050","506","104","84","131","14,913","148,978","267,232",
"9","DISTRITO FEDERAL","1","GUSTAVO A. MADERO","159","382","15,423","19,512","52,681","4,862","6,537","3,702","4,339","6,615","17,197","4,351","773","412","103","4,486","140,993","233,289",
"9","DISTRITO FEDERAL","2","GUSTAVO A. MADERO","260","492","45,890","30,121","49,579","5,498","7,671","4,283","5,077","8,004","13,246","2,900","611","379","193","6,224","179,676","258,937",
"9","DISTRITO FEDERAL","3","AZCAPOTZALCO","241","485","35,711","32,552","58,534","5,739","7,060","4,944","6,065","8,951","17,253","3,396","796","483","188","6,024","187,696","274,027",
"9","DISTRITO FEDERAL","4","IZTAPALAPA","189","423","23,989","23,275","55,719","5,659","10,140","4,965","5,115","7,188","19,312","4,395","730","595","158","5,154","166,394","248,506",
"9","DISTRITO FEDERAL","5","TLALPAN","213","416","48,326","25,702","46,894","4,498","8,074","4,214","4,213","5,435","11,586","2,617","544","440","235","6,156","168,934","237,582","SDF-JIN-2"
"9","DISTRITO FEDERAL","6","GUSTAVO A. MADERO","217","453","22,278","27,809","59,718","5,182","6,502","4,528","5,468","8,829","18,207","3,614","885","415","181","5,488","169,104","256,786",
"9","DISTRITO FEDERAL","7","GUSTAVO A. MADERO","222","466","28,429","33,006","61,322","6,293","7,517","5,001","5,428","10,504","17,774","3,533","789","498","218","5,938","186,250","269,609",
"9","DISTRITO FEDERAL","8","CUAUHTÉMOC","251","508","37,122","34,388","58,120","6,059","7,911","5,235","5,257","10,128","16,470","3,214","775","429","210","6,343","191,661","281,651",
"9","DISTRITO FEDERAL","9","VENUSTIANO CARRANZA","217","446","24,337","31,279","55,726","6,105","5,667","4,280","4,566","11,136","16,370","3,337","799","438","179","5,381","169,600","257,852",
"9","DISTRITO FEDERAL","10","MIGUEL HIDALGO","264","544","63,020","37,791","55,040","5,573","6,457","4,288","5,555","8,791","13,919","2,799","600","365","223","7,494","211,915","306,775",
"9","DISTRITO FEDERAL","11","VENUSTIANO CARRANZA","208","425","24,885","25,967","55,482","4,838","6,764","4,339","4,973","7,954","15,336","3,352","703","420","193","5,236","160,442","240,166",
"9","DISTRITO FEDERAL","12","CUAUHTÉMOC","244","494","33,566","32,116","51,140","6,112","7,353","4,879","5,600","10,360","15,046","3,081","783","422","180","6,555","177,193","277,665",
"9","DISTRITO FEDERAL","13","IZTACALCO","210","418","24,902","28,038","52,740","5,024","6,979","4,061","5,594","8,252","14,891","3,370","696","372","155","5,406","160,480","235,995",
