"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PVEM"," PT"," MOVIMIENTO CIUDADANO"," NUEVA ALIANZA"," MORENA"," PARTIDO HUMANISTA"," ENCUENTRO SOCIAL"," PAN-NUEVA ALIANZA"," PRI PVEM"," PRD PT"," CANDIDATO INDEPENDIENTE 1"," CANDIDATO INDEPENDIENTE 2"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL","OBSERVACIONES"
"1","AGUASCALIENTES","1","JESUS MARIA","148","445","35,798","35,733",,"2,948","14,046",,"11,842","1,484","804","969","1,197","1,060",,,,"68","3,135","109,084","277,868","ELECCIÓN EXTRAORDINARIA DEL 6 DE DICIEMBRE DE 2015"
"1","AGUASCALIENTES","2","AGUASCALIENTES","235","589","33,126","32,679","5,010","8,601","2,589","3,040","6,315","7,400","3,240","4,614",,,,,,"306","8,570","115,490","340,905","SM-JIN-46-2015 SUP-REC-504-2015"
"1","AGUASCALIENTES","3","AGUASCALIENTES","217","445","35,451","27,196","2,125","6,049","1,472","1,908","4,103","6,221","2,643","3,380",,,,,,"296","7,912","98,756","248,581","SM-JIN-39-2015"
"2","BAJA CALIFORNIA","1","MEXICALI","224","492","29,528","16,944","2,718","2,996","1,285","5,805","5,274","8,101","2,813","4,981",,"931",,,,"89","5,760","87,225","279,071",
"2","BAJA CALIFORNIA","2","MEXICALI","220","431","27,829","11,728","2,854","3,123","818","8,135","4,638","8,404","4,015","8,021",,"847",,,,"166","6,026","86,604","237,921","SG-JIN-15-2015"
"2","BAJA CALIFORNIA","3","ENSENADA","196","497","21,915","17,985","5,924","2,853","9,971","3,019","3,902","13,096","2,581","4,235",,"678",,,,"205","6,158","92,522","276,800","SG-JIN-10-2015 SG-JIN-11-2015 SUP-REC-426-2015"
"2","BAJA CALIFORNIA","4","TIJUANA","292","590","27,945","13,957","3,504","3,482","4,767","5,189","7,046","15,024","2,689","4,850",,"882",,,,"185","6,675","96,195","336,429",
"2","BAJA CALIFORNIA","5","TIJUANA","194","468","25,665","13,876","2,992","2,754","1,999","3,683","3,183","12,766","2,604","4,828",,"753",,,,"677","6,878","82,658","268,149","SG-JIN-12-2015"
"2","BAJA CALIFORNIA","6","TIJUANA","274","557","27,507","14,954","2,798","5,532","1,718","4,091","4,645","14,237","2,840","6,812",,"1,446",,,,"323","7,748","94,651","304,581","SG-JIN-13-2015"
"2","BAJA CALIFORNIA","7","MEXICALI","211","594","24,672","18,693","3,444","3,583","3,799","19,150","3,923","10,054","2,252","7,098",,"1,161",,,,"190","6,432","104,451","359,848","SG-JIN-9-2015"
"2","BAJA CALIFORNIA","8","TIJUANA","337","715","36,113","23,249","4,982","4,767","2,615","4,207","4,993","16,312","3,008","6,046",,"1,387",,,,"357","7,772","115,808","415,080","SG-JIN-14-2015"
"3","BAJA CALIFORNIA SUR","1","MULEGE","247","415","49,951","33,302","4,036","1,983","1,776","1,007","3,934","6,620","4,070","3,643",,"1,255","158",,,"136","4,702","116,573","203,034","SG-JIN-73-2015 SUP-REC-427-2015"
"3","BAJA CALIFORNIA SUR","2","LA PAZ","235","487","49,540","23,830","9,886","3,223","9,978","1,193","2,199","8,658","4,089","5,707",,"1,267","1,786",,,"238","5,770","127,364","262,338",
"4","CAMPECHE","1","CAMPECHE","254","557","49,934","62,535","7,104","4,437","2,359","2,311","13,825","30,152","2,586","5,992",,"4,395",,,,"87","6,676","192,393","299,680","SX-JIN-31-2015 SX-JIN-32-2015 SUP-REC-418-2015 SUP-REC-419-2015"
"4","CAMPECHE","2","CARMEN","270","543","70,747","55,687","6,006","3,114","1,666","2,317","3,531","17,054","1,513","1,852",,"4,490",,,,"63","5,623","173,663","303,930",
"5","COAHUILA","1","PIEDRAS NEGRAS","224","499","24,065","50,653","2,587","4,573","1,685","1,488","7,789","4,701","1,218","3,845",,"884",,,,"60","3,251","106,799","282,149","SM-JIN-21-2015 SM-JIN-22-2015 SUP-REC-390-2015"
"5","COAHUILA","2","SAN PEDRO","298","545","21,142","67,014","6,728","4,529","2,047","3,087","9,103","7,830","2,574","2,337",,"628",,,,"38","4,242","131,299","288,092","SM-JIN-7-2015 SM-JIN-8-2015 SM-JIN-64-2015 SUP-REC-384-2015"
"5","COAHUILA","3","MONCLOVA","276","574","33,370","71,000","3,592","2,874","1,499","1,234","7,761","4,767","1,763","5,092",,"974",,,,"75","3,987","137,988","313,880","SM-JIN-43-2015"
"5","COAHUILA","4","SALTILLO","207","481","24,736","62,860","2,317","4,802","1,828","1,811","8,113","5,736","3,871","4,544",,"977",,,,"83","4,801","126,479","284,002","SM-JIN-2-2015 SM-JIN-13-2015 SUP-REC-332-2015"
"5","COAHUILA","5","TORREON","296","517","26,550","64,822","2,923","9,192","1,669","2,971","7,227","8,062","1,990","2,716",,"1,044",,,,"69","4,614","133,849","279,483","SM-JIN-15-2015 SUP-REC-388-2015"
"5","COAHUILA","6","TORREON","187","510","53,641","47,758","2,474","9,007","1,329","5,487","5,903","9,186","2,507","3,042",,"1,433",,,,"86","4,591","146,444","306,961","SM-JIN-68-2015 SM-JIN-69-2015 SUP-REC-385-2015 SUP-REC-507-2015"
"5","COAHUILA","7","SALTILLO","171","410","30,925","47,621","2,537","3,775","1,496","1,646","6,353","5,184","2,928","3,295",,"697",,,,"152","4,303","110,912","237,469","SM-JIN-60-2015 SM-JIN-61-2015 SUP-REC-335-2015"
